height,slope_avg,river_distance_avg,drainscore_avg,permeable,distance_avg,length_sew,numpoints,dept_avg
527.0,6.0,505.0,4.5,1,1810.0,0.0,0.0,0.0
310.5,3.0,208.0,4.0,1,246.0,0.0,0.0,0.0
631.0,11.0,337.0,4.0,1,1015.0,0.0,0.0,0.0
1023.5,18.5,286.0,5.0,1,996.0,0.0,0.0,0.0
888.5,4.0,894.0,4.0,1,300.0,0.0,0.0,0.0
292.0,7.0,223.0,4.0,1,464.0,0.0,0.0,0.0
88.5,2.0,542.0,4.0,1,568.0,15.571428571428571,3.0,0.0
1309.0,14.0,1043.0,5.0,1,2374.0,0.0,0.0,0.0
1041.1666666666667,5.0,1999.0,4.0,1,3823.0,0.0,0.0,0.0
876.0,21.0,785.0,5.0,1,886.0,0.0,0.0,0.0
766.0,13.0,979.0,4.0,1,580.0,0.0,0.0,0.0
145.0,2.0,1072.0,4.0,1,238.0,18.4,2.0,0.0
556.0,7.5,405.0,4.0,1,731.0,0.0,0.0,0.0
9.0,3.0,670.0,5.0,1,178.0,0.0,0.0,0.0
178.5,4.0,187.0,4.0,1,275.0,15.5,1.0,0.0
553.0,2.0,121.0,4.5,1,1345.0,0.0,0.0,0.0
28.0,5.0,939.0,4.0,0,357.0,0.0,0.0,0.0
8.0,2.5,47.0,4.5,1,243.0,0.0,0.0,0.0
162.0,7.0,440.0,4.0,1,371.0,0.0,0.0,0.0
1575.5,11.0,2032.0,4.0,1,602.0,0.0,0.0,0.0
461.0,5.0,304.0,4.0,1,668.0,0.0,0.0,0.0
533.0,5.75,736.0,4.0,1,583.0,0.0,0.0,0.0
327.0,4.666666666666667,25.0,2.0,1,17.0,11.0,1.0,0.0
68.0,2.5,849.0,4.0,1,433.0,0.0,0.0,0.0
108.0,12.0,104.0,4.0,1,691.0,0.0,0.0,0.0
875.5,19.0,833.0,5.0,1,1210.0,0.0,0.0,0.0
261.0,4.0,569.0,4.0,1,463.0,0.0,0.0,0.0
433.0,8.0,22.0,4.0,1,1276.0,0.0,0.0,0.0
1133.5,32.0,2013.0,5.0,1,886.0,0.0,0.0,0.0
1028.5,10.0,1098.0,4.0,1,1343.0,0.0,0.0,0.0
1460.0,24.0,308.0,4.0,1,984.0,0.0,0.0,0.0
698.5,6.0,862.0,2.0,1,1174.0,0.0,0.0,0.0
30.0,1.5,409.0,4.5,1,67.0,11.333333333333334,2.0,0.0
765.0,3.0,589.0,5.0,1,3254.0,0.0,0.0,0.0
627.0,6.0,212.0,4.0,1,403.0,0.0,0.0,0.0
494.0,9.0,468.0,4.0,1,282.0,0.0,0.0,0.0
581.0,18.5,727.0,4.0,1,1042.0,0.0,0.0,0.0
7.5,2.0,783.0,5.0,1,247.0,0.0,0.0,0.0
799.0,18.5,1777.0,5.0,1,56.0,0.0,0.0,0.0
90.0,1.5,1081.0,4.0,0,101.0,15.0,2.0,0.0
144.0,2.5,164.0,3.0,1,399.0,0.0,0.0,0.0
189.5,5.0,630.0,4.0,1,583.0,0.0,0.0,0.0
595.5,5.0,137.0,4.0,1,1225.0,0.0,0.0,0.0
383.0,3.0,92.0,4.0,1,828.0,0.0,0.0,0.0
114.0,2.0,191.0,4.0,1,294.0,11.0,1.0,0.0
333.5,4.0,160.0,4.0,1,381.0,0.0,0.0,0.0
263.5,4.0,338.0,4.0,1,323.0,0.0,0.0,0.0
470.5,6.5,471.0,4.0,1,2.0,0.0,0.0,0.0
1566.5,18.5,180.0,4.0,1,1129.0,0.0,0.0,0.0
677.0,6.0,745.0,4.0,1,1641.0,0.0,0.0,0.0
272.0,4.0,338.0,4.0,1,43.0,0.0,0.0,0.0
532.0,16.0,512.0,4.0,1,345.0,0.0,0.0,0.0
842.0,12.0,1671.0,5.0,1,1820.0,0.0,0.0,0.0
373.0,4.0,28.0,4.0,1,111.0,0.0,0.0,0.0
437.75,4.0,232.0,4.0,1,621.0,0.0,0.0,0.0
98.0,3.5,118.0,4.0,1,265.0,0.0,0.0,0.0
162.0,2.0,613.0,4.0,1,289.0,0.0,0.0,0.0
60.0,2.0,936.0,4.0,1,61.0,0.0,0.0,0.0
423.0,4.0,273.0,4.0,1,297.0,0.0,0.0,0.0
64.75,3.0,155.0,5.0,1,107.0,0.0,0.0,0.0
586.0,4.5,398.0,4.0,1,805.0,0.0,0.0,0.0
232.0,4.5,544.0,4.0,1,133.0,0.0,0.0,0.0
598.5,10.0,478.0,4.5,1,27.0,0.0,0.0,0.0
1170.0,13.0,1474.0,4.0,1,1026.0,0.0,0.0,0.0
847.5,1.5,753.0,4.0,1,3251.0,0.0,0.0,0.0
199.0,5.0,1318.0,4.0,1,453.0,0.0,0.0,0.0
